container_id,day1_mae,day1_rmse,peak_mae,peak_rmse,non_peak_mae,non_peak_rmse,residual_mae_scaled,residual_rmse_scaled,residual_pearson_r,residual_r2,residual_std_actual,residual_std_predicted,residual_std_ratio
c_10032,0.36526735741692756,0.44400371060934635,0.8185728019734703,0.885341566907691,0.3066042998860808,0.34815895173641803,0.052115463550684894,0.06334937608514012,-0.0816544568474967,-0.04917424998242481,0.06184698464433391,0.002186293015256524,0.03535003408540178
c_10034,3.872184691749171,4.335535297141187,,,3.872184691749171,4.335535297141187,0.11721519462875207,0.1312413157247066,0.5199672715629825,-0.05140641976696525,0.12799271851783722,0.00938692782074213,0.0733395456354336
c_10089,0.7887346966105789,1.0149852138938593,1.1735659030235965,1.6211928414064745,0.7059229180153725,0.828436017797533,0.05379578530634216,0.06922724065568067,-0.00024146659831530276,-0.1009311215104971,0.06597766583600058,0.0027070236392319202,0.04102939388551145
c_10132,0.6204424198193396,0.7741254348323798,1.6927987628253702,1.730444441334886,0.5229554795460641,0.61767925640374,0.15244196073556046,0.19020169377760832,-0.2211476520833204,-0.03898199189508511,0.18659945456815988,0.006487338803708553,0.034766118790228825
c_1016,0.355937207144193,0.5175452546977214,1.364834670418165,1.4856855111219078,0.26421925593746826,0.3025611358152548,0.025473617943794383,0.03703953905963159,0.16985772624558518,0.014168209664601306,0.03730475258912628,0.00202895887196064,0.05438875025677152
c_10306,0.34988818095126906,0.4005590936003903,0.5075446256705058,0.5247781612326011,0.30301734603473934,0.35535178210958757,0.0999680517003626,0.11444545531439723,-0.09321239405296897,-0.010482188369751233,0.11385031065216984,0.001981128938496113,0.01740117288347825
c_10312,0.372706525301822,0.47884984848679324,0.7722730203789092,0.8222692705853741,0.26082790668023764,0.32277685191000755,0.010445987575563845,0.0134209068751961,-0.03826877012544849,-0.15438370633494802,0.012491274975922338,0.0014897574437782168,0.11926384189362665
c_10382,0.54959337871634,0.7929232626509981,1.306002576790998,1.7071663623441304,0.461638820800682,0.6024528443990264,0.06611622590380169,0.09538887400765228,0.17257211260977978,-0.007594008176224909,0.09502873196116092,0.003461397485807538,0.03642474664633263
c_10393,1.2394236508713232,1.5656167887539307,2.5374979949475036,2.5766928226373813,1.1051400980358561,1.4205262748496497,0.058351612189468355,0.07370866582259109,0.17711358500816207,0.00957125321575869,0.07406396048038806,0.002211774932220578,0.029863038890638995
c_10641,0.6181738348864577,0.8080601207062462,1.067584075195997,1.2105092044017596,0.3717230579425167,0.4554856514660356,0.02961537106208542,0.038712412212633544,0.05255160957897963,-0.32434497536390117,0.0336395106432725,0.0017012458993121982,0.05057284921153949
c_10695,0.634672333478735,0.8883970043339862,1.6005326629947334,1.7560412057641959,0.39634316126050156,0.4723249097872762,0.12570922599491974,0.17596434238577477,-0.06433084078520572,-0.14535468905927473,0.16442001054535985,0.008335425518453121,0.05069593105368134
c_10733,1.778068193468603,2.243751566934675,1.743902592208862,2.4518550542915354,1.801444657488426,2.0894567830644095,0.11322715586758518,0.14288181371820766,0.08484874896233702,-0.025644247830537203,0.14108426503548288,0.0030517270788550377,0.02163052752968252
c_10878,0.4076774353423529,0.5512239204265162,1.1190895973862025,1.2403448479804156,0.3340830737516098,0.4196781980927696,0.07856777060261953,0.1062321109196987,0.07559558245608325,0.0029242066005731315,0.10638777471781452,0.0024225576780736446,0.022771015603054907
c_10898,0.5849339057072475,0.7762005016924239,1.5675104105710491,1.660739770141402,0.4029752936954325,0.45089655879664314,0.12626857582582598,0.16755693412145392,-0.05010400363324478,-0.08276204248869656,0.16102595885660112,0.004626056179404259,0.028728636129556683
c_11013,2.974866603370151,4.2501795835704455,11.717786661054868,12.018862338798913,2.2872212055747245,2.8501432643994065,0.06310866192058208,0.090163083661447,0.049151526145454955,-0.20647547784080467,0.08208607820033198,0.004790070466697216,0.05835423706084479
c_11087,6.463670049605792,12.2452792924916,43.29568698527875,48.62197852221949,4.439932855338048,5.318860344583866,0.06846720845264893,0.12970960513850183,0.06765035829209542,-0.017307470297948546,0.12860149592663814,0.003707272931933403,0.028827603483308234
c_11203,1.5503375175909584,2.4354471493867034,2.7352832410782115,3.847897908896887,1.011725825096752,1.3774433990294523,0.05164896282136663,0.08113608671970822,0.13074340443873486,-0.1250809280488847,0.0764930849024653,0.0035024804528802633,0.045788197159863556
