container_id,day1_mae_csrle,day1_rmse_csrle,day1_mape_csrle,train_steps_csrle,validation_steps_csrle,day1_mae_frozen,day1_rmse_frozen,day1_mape_frozen,train_steps_frozen,validation_steps_frozen,delta_day1_mae,delta_day1_rmse
c_10032,0.35288995422840547,0.4317973943459787,10.389460478724315,614,154,0.3531221154126398,0.4327977328186703,10.397754968183348,614,154,-0.0002321611842343585,-0.0010003384726915976
c_10034,3.6316321117205934,4.085286912834177,68.72796865073006,613,154,3.6561898548874816,4.107339381144937,69.09120345194393,613,154,-0.02455774316688819,-0.022052468310759465
c_10089,0.7692446188494563,1.0271073206338752,7.773449361982563,614,154,0.767384200123057,1.024064625455502,7.732747936443928,614,154,0.0018604187263993044,0.0030426951783733003
c_10132,0.6183810983622364,0.7664045367937559,21.76117702966378,611,153,0.6161709487152378,0.7626872448676484,21.675027361908448,611,153,0.002210149646998616,0.00371729192610748
c_1016,0.34969331085006705,0.517389819516949,14.353978855575994,614,154,0.3478017208669357,0.5139317804109284,14.290074087889778,614,154,0.0018915899831313254,0.003458039106020605
c_10306,0.3488478145247796,0.40075236599094144,1523.9247133730694,614,154,0.3498958781742383,0.4010295572516438,1522.751599498606,614,154,-0.001048063649458697,-0.00027719126070235856
c_10312,0.3234507712125189,0.4128733785360617,24.385990566609394,614,154,0.3192895326828834,0.4103126315689475,23.986002314390813,614,154,0.004161238529635514,0.0025607469671142247
c_10382,0.5486726294795289,0.791688516775736,14.531004710056752,614,154,0.5509489858687353,0.7926803926062403,14.592026490627566,614,154,-0.0022763563892064242,-0.0009918758305043074
c_10393,1.1518664945508237,1.4921528059211164,10.13473898728465,614,154,1.1531114679365286,1.4936879473947569,10.145024875459027,614,154,-0.0012449733857049505,-0.0015351414736404223
c_10641,0.585653704067086,0.7721311597025919,11.562909840220225,613,154,0.5863754414484974,0.7703941902754676,11.588750739499892,613,154,-0.000721737381411458,0.001736969427124313
c_10695,0.6436974178290303,0.8950335788276877,19.76303895436171,614,154,0.63970343114487,0.8904394867651344,19.658345216812855,614,154,0.003993986684160289,0.0045940920625533455
c_10733,1.7652264642728719,2.227157683916072,4.606255298601016,611,153,1.7676144136357277,2.231522023365973,4.612660031685286,611,153,-0.0023879493628558013,-0.004364339449901333
c_10878,0.41291946541813546,0.5560763001291452,19.901696219472445,614,154,0.4118594789730776,0.5572886780074063,19.81110147595898,614,154,0.0010599864450578367,-0.0012123778782611172
c_10898,0.5891755765389751,0.7773653825787841,20.545137389847497,614,154,0.5882831983095519,0.7765384401543982,20.49634508329809,614,154,0.0008923782294232296,0.000826942424385857
c_11013,2.7393831258029557,4.041416632509748,10.92494521857084,612,154,2.733269214823506,4.04162076383406,10.883295063065953,612,154,0.006113910979449688,-0.00020413132431240655
c_11087,6.304760691456727,12.148119858399394,207.11365525659104,614,154,6.341315955758329,12.143608317798146,207.99544643124003,614,154,-0.03655526430160183,0.004511540601248143
