container_id,recovery_pearson_r_g_vs_rb,recovery_r2_g_vs_rb,recovery_mae_g_vs_rb,recovery_rmse_g_vs_rb,recovery_pearson_r_g_vs_n,recovery_r2_g_vs_n,recovery_std_n,recovery_std_g_hat,recovery_std_rb,recovery_pearson_r_g_vs_i,recovery_r2_g_vs_i
c_10032,0.0026485630201243185,-512.7380346557665,0.05308181232366641,0.06359744909843597,0.1515144608800627,-0.4408795210231158,0.09654219787124141,0.06187470630651669,0.002805878408253193,0.14550037433478089,-0.23661051583714632
c_10034,0.44578199254039136,-259.59263673400443,0.11276411746887079,0.13111269969703007,0.01503523249733959,-0.03949967526766862,0.589382754033849,0.12479775350341142,0.008122012950479984,-0.006175452456190269,-0.047235698362303014
c_10089,0.015190668270836212,-1243.3893593937757,0.05833750511637442,0.07693619699064852,0.3009884845999928,0.06939377291577609,0.3094628119504342,0.06998956244926559,0.002180984476581216,0.30235473736435636,0.07201484788916934
c_10132,-0.10047787520820639,-1327.599239468951,0.15031706189301705,0.1878909755577444,0.22323398864540517,-3.333116231097801,0.09231822213155154,0.18610450583203386,0.005154765676707029,0.23309375330058635,-4.040104966693326
c_1016,-0.03876544689732559,-217.65821532793527,0.02454729565070986,0.03573558938796622,-0.07970705816702152,-0.33891822492277646,0.07050566678187452,0.0355201449866136,0.0024166740477085114,-0.07936675277868244,-0.33276598721255746
c_10306,-0.07914169822748483,-1783.7922265634554,0.0998685080230592,0.11448737887586795,,,0.0,0.11385031065216984,0.002709965454414487,,
c_10312,0.27991316582592574,-63.140443433478325,0.009426390754514187,0.012697339427147802,0.5011045815901279,0.04320207954442146,0.16088782810188182,0.012291133727651003,0.001585428835824132,0.4999989242541151,0.012812018557941673
c_10382,0.10000030110320778,-922.414539765149,0.0673730042984612,0.09802613425958295,-0.05399834329809794,-1.3715873405587922,0.08721611018527288,0.09753669125464608,0.0032258452847599983,-0.052973471619303644,-1.443546432582684
c_10393,0.014309585090688262,-614.375546239845,0.052641228028707764,0.06782008184563826,0.11175047597100927,-0.029272901723688127,0.46461883294220807,0.06757552541967198,0.002733935136348009,0.11180909433426091,-0.04708484977231264
c_10641,-0.06648705917348342,-440.6802901112298,0.028786460025803307,0.03754543125699846,0.26567442329916346,0.055213069136558435,0.13464552420280115,0.03257697349863619,0.0017865002155303955,0.26680232959764116,0.04721889406997948
