container_id,origin_index,diagnostic_class,confidence,recommended_action,interpretation,delta_hybrid,delta_prophet
c_10032,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.6724826076238049,0.0
c_10034,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-2.7518744328959563,0.0
c_10089,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.251854125846838,0.0
c_10132,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.25857721455268756,0.0
c_1016,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.1512949577336662,0.0
c_10306,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.009147456229942896,0.0
c_10312,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.45702418690926194,0.0
c_10382,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.08261719496025688,0.0
c_10393,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,1.3745279932321504,0.0
c_10641,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.7554207456682787,0.0
c_10695,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.05719489263448374,0.0
c_10733,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.1107470840473308,0.0
c_10878,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.004685824413018291,0.0
c_10898,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.04574306090583258,0.0
c_11013,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,1.8567686800037602,0.0
c_11087,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,4.305248553672172,0.0
c_11203,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,1.8765053770737607,0.0
c_11307,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-1.0760008360433273,0.0
c_11327,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.01407627491402308,0.0
c_11461,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.5017666489906183,0.0
c_11735,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-1.5127082033506323,0.0
c_11752,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.15540836806616976,0.0
c_1181,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.2775893159089584,0.0
c_1186,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.32583217650255836,0.0
c_11996,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,1.9756759416249425,0.0
c_12060,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.08474606033216678,0.0
c_12158,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.09089985014711344,0.0
c_12164,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.07967783130023331,0.0
c_12174,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.004230141119829778,0.0
c_12189,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.12551779376248384,0.0
c_12193,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.12387568499893864,0.0
c_12231,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-7.549622350270252,0.0
c_12237,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-8.565770050252974,0.0
c_12441,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.9067008195328812,0.0
c_12517,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,2.077428699253412,0.0
c_12624,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.00901642852590917,0.0
c_12767,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.1920538057147141,0.0
c_12858,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.14725946845638793,0.0
c_1286,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.18077772943949438,0.0
c_12971,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.04170171488761465,0.0
c_12974,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.0003544367532285486,0.0
c_12993,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.012494657726972669,0.0
c_12999,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.14078057973344293,0.0
c_13020,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.007542620858862259,0.0
c_13044,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.1060201248106748,0.0
c_13083,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.11043435684969993,0.0
c_13166,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,1.2413217619194887,0.0
c_13170,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,2.2272847916954075,0.0
c_13229,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.5415814264684611,0.0
c_13269,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.09731968932772783,0.0
c_13308,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.002469540226510428,0.0
c_13389,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-4.521121600778567,0.0
c_13403,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.10644536499914925,0.0
c_13441,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.3111575967399717,0.0
c_13607,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-1.4104981005364032,0.0
c_13615,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-3.284767831847505,0.0
c_13658,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.7186285605464888,0.0
c_13690,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.8458329209976736,0.0
c_1379,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.04717724678697177,0.0
c_1387,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.06578807078508248,0.0
c_13873,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-1.1805463159151879,0.0
c_14106,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.003545062779809075,0.0
c_14135,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.31710653910490083,0.0
c_14296,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-2.728410226555944,0.0
c_14363,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.04649963474520363,0.0
c_14388,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.5732762000739043,0.0
c_14396,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-1.169652171852235,0.0
c_14413,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.10402638759327953,0.0
c_14416,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.12225044541701272,0.0
c_14417,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,1.9978387521568488,0.0
c_14435,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.1965003919510655,0.0
c_14471,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,1.5116805047360902,0.0
c_14820,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.17493165811945266,0.0
c_14855,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.06604970553610301,0.0
c_14886,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.29741249285902893,0.0
c_1494,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.013247595499665699,0.0
c_14964,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-1.290306399161317,0.0
c_15030,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-2.8307172823339055,0.0
c_15035,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.015160247920547328,0.0
c_15072,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.533666885597593,0.0
c_15179,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.9366309744628194,0.0
c_15235,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.7814260380596414,0.0
c_15282,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.006139633487499352,0.0
c_15420,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.10929280646843598,0.0
c_15446,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.009777761248997346,0.0
c_15486,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.11653407011082861,0.0
c_15527,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,5.927956659501204,0.0
c_15555,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.1295271541397296,0.0
c_15570,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.006426778220477547,0.0
c_15604,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.2631096717508821,0.0
c_15616,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.39159610364702135,0.0
c_15630,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.08680602663680115,0.0
c_15640,200,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,20.61778850619777,0.0
c_15642,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.24303742261198674,0.0
c_15647,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.03982159819391362,0.0
c_15794,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.01878266570161193,0.0
c_15856,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.13295753036690855,0.0
c_16008,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-9.977198803625454,0.0
c_16048,200,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.22660188100984868,0.0
c_10032,296,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.804330982883309,0.13213791663013597
c_10034,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-2.6049499831180474,0.13003136894253753
c_10089,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.1742954184097384,-0.08224590963386436
c_10132,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.16176161091367036,-0.09657575899237547
c_1016,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.15954027599768783,0.010339793974770028
c_10306,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.0018679600632082183,-0.007575349598136716
c_10312,296,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.4471310420455814,-0.018763857566961306
c_10382,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.08107571662671609,-0.002543278300303875
c_10393,296,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.8207637780868606,-0.5552083500867688
c_10641,296,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.3017068715687319,-0.44638271475829516
c_10695,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.07364313701036151,-0.01663831573743202
c_10733,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.0318595970671538,0.0781611090040546
c_10878,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.037301011136975704,-0.03956748558045198
c_10898,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.07216686799663363,-0.025896733142631745
c_11013,296,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,1.0046588119031488,-0.8560002036932586
c_11087,296,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,2.4684104573005925,-1.8785720135923611
c_11203,296,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.9587958001133596,-0.9128134379586332
c_11307,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-0.9131006010812248,0.11225380391336026
c_11327,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,0.09623315213532713,0.09910492496737155
c_11461,296,GRU_STALE,0.85,recommend_retraining,Hybrid error increased while Prophet remained stable; GRU/residual path likely stale.,0.5017041138160325,-0.005112368408949797
c_11735,296,STABLE,0.9,no_action,No significant diagnostic degradation detected.,-1.4998012512304013,0.017988574642397448
