container_id,recovery_pearson_r_g_vs_rb,recovery_r2_g_vs_rb,recovery_mae_g_vs_rb,recovery_rmse_g_vs_rb,recovery_pearson_r_g_vs_n,recovery_r2_g_vs_n,recovery_std_n,recovery_std_g_hat,recovery_std_rb,recovery_pearson_r_g_vs_i,recovery_r2_g_vs_i
c_10032,-0.1905303426254333,-180.44137549502534,0.052241074546349964,0.06487344738960343,0.17963450018464747,-0.10831756223792244,0.1159442402306479,0.06299921776343763,0.004816136788576841,0.17834534752877218,-0.10457622675521061
c_10034,0.5041330068095273,-157.30126756441007,0.12282097901064043,0.13767525328388847,0.17402911490061346,0.025405004001052833,0.7057814605453515,0.13307478035605072,0.010942427441477776,0.16889648595300605,0.027791848384103757
c_10089,0.28178378649376146,-193.55146585386547,0.05516193824749318,0.07455316807445218,0.4257167154601452,0.14479096558559412,0.279969499967249,0.07169447891476498,0.005345013923943043,0.42817272986751675,0.1438004208717617
c_10132,-0.2365020109101492,-103.30341747533184,0.15921730204130705,0.19643281658955403,0.07722803787387211,-4.722556263070455,0.08485564062436582,0.19003685080271865,0.019233785569667816,0.07522658200905764,-5.020549368237528
c_1016,0.12744685663517094,-423.8467864751662,0.026337212390693237,0.037844954690990806,0.2944620648889509,0.0460113999845041,0.07663108859652752,0.037954899649077126,0.001836080919019878,0.29480628195119585,0.036947450047820185
c_10306,0.0916785842186677,-280.5883431655585,0.09896603509258815,0.11380864322014445,,,0.0,0.11385031065216984,0.006782157812267542,,
c_10312,0.14589360208414887,-40.87717279269931,0.009440879691841694,0.012388599883242271,0.3795601685217238,0.046964361648136,0.17522909651470417,0.011971251317778264,0.0019144037505611777,0.3795681811809014,0.04421200796110991
c_10382,0.30320091892427414,-104.07384500946029,0.06704382574804701,0.09640451466631417,0.18168462431606947,-0.5831236291645292,0.10250123703076805,0.09792209000249842,0.009404810145497322,0.17844042725425274,-0.6420750876275942
c_10393,0.3006337728403081,-59.11339827212285,0.05786415931068963,0.07107782750523897,0.37680287937449086,0.09031698788773768,0.48866994304619704,0.07327151863729381,0.009167448617517948,0.37745790141996227,0.09070909175020214
c_10641,0.06891577978764869,-153.2583512413957,0.028195943850844275,0.035777788685820676,0.07257406785931131,-0.033627489086042184,0.1366861725324265,0.031239752235556747,0.002880641259253025,0.07284729627852389,-0.05171530593603779
c_10695,0.059504031829313214,-204.2116715215061,0.12132359730430815,0.17208648623204323,0.024838459637837682,-6.864867339236828,0.06506438259972946,0.1593982852906902,0.012012841179966927,0.024718817145236185,-7.275783727789499
c_10733,0.024888908105772736,-392.4796130112386,0.11164174763726176,0.1409506661888855,0.041777081138493176,-0.33485761465473596,0.22742006751470153,0.13768540929770545,0.007105685770511627,0.04189378582024263,-0.3199254528256359
c_10878,-0.03544804784468331,-395.73004974894565,0.08240969358724913,0.11003344422383152,0.18617422594382038,-2.6754248467724335,0.059867661621281806,0.10969896331687722,0.00552429910749197,0.18623363038052726,-2.686279416186203
c_10898,-0.11391658503083363,-438.6304651547806,0.1275640894100085,0.16939854494249448,0.17529699480668903,-6.227654499857991,0.06312012563460391,0.1611769535229937,0.00807915162295103,0.17285668653229264,-6.4580181089958755
c_11013,0.06205193676387431,-477.31877740717357,0.062111967527414956,0.08927650916858816,0.12386131248167498,0.012355829886457781,1.02377082829177,0.080441159528662,0.004082051571458578,0.1239371565394625,0.010382060670448223
c_11087,0.04590844734596374,-344.52989214538314,0.06990198787323579,0.1295571140252266,0.16763521365571632,0.026629228171009878,0.7343419056674141,0.1281947913060115,0.0069697704166173935,0.16742896279899327,0.027517194379215515
c_11203,0.0844978948263839,-227.34457695350645,0.051603818597178476,0.07994393756698931,0.16025831624031178,0.02222005918448655,0.6461973234222267,0.07589097176668522,0.005290420260280371,0.16463409974172846,0.022716238995003413
c_11307,0.149746518012642,-597.7242830702113,0.15374644810277588,0.2596864973399166,0.19338229647871297,-0.6982483411154852,0.24856485303656073,0.26055273834573334,0.010612945072352886,0.19476097396314257,-0.7021104107588927
c_11327,0.17832495898760825,-156.28581974892978,0.07467752329540041,0.09236999633879843,0.2846431992689812,-0.05913837087626139,0.14545022780211717,0.09097683280009965,0.007365227211266756,0.28633791961070165,-0.09513050921301791
c_11461,0.26407620142421084,-63.41710306738622,0.03650420518864978,0.049069479942053185,0.2900996796255624,0.041755404862240275,0.5810563051314389,0.049435146510285986,0.006113794632256031,0.2901785329432279,0.039349186658224844
